id	title	description	availability	availability date	expiration date	link	mobile link	image link	price	sale price	sale price effective date	identifier exists	gtin	mpn	brand	product highlight	product detail	additional image link	condition	adult	color	size	size type	size system	gender	material	pattern	age group	multipack	is bundle	unit pricing measure	unit pricing base measure	energy efficiency class	min energy efficiency class	min energy efficiency class	item group id	sell on google quantity
c2a323e2-8b8a-469a-b5e3-d61c3fe305e5	Turnkey 17.5ft LeMontH Classic Food Trailer — Fully Equipped, Ready to Operate | - Food Trailer for Sale in Key West, FL	Fully equipped 17.5ft LeMontH Classic food trailer ready for immediate operation. Compact enough to tow and park anywhere, big enough to run a full service. Premium fiberglass mono body construction built for durability and easy maintenance. Hook up and start serving. Durable fiberglass mono body exterior with side service window, exterior counter bar, and rear tailgate access. Rolls on 15" chrome wheels with a 2" ball coupler system, four stabilizing jacks, aluminum mudguards, diamond plate trim, and a spare tire. All regulatory lighting in place for road compliance. Clean, white fiberglass-lined interior with English brick-style accent walls, diamond plate flooring, and LED lighting throughout. Fully plumbed with a 12v water pump, freshwater and grey water tanks, three stainless steel sinks, and a dedicated handwash station — health department ready. Includes stainless steel worktable, built-in storage cabinets, and double security locks. Complete electrical wiring system installed. This trailer has been operated in Key West, Florida. Trailer and equipment only — no business or brand included. Buyer builds their own concept. Serious inquiries only.	in_stock			https://vendibook.com/listing/c2a323e2-8b8a-469a-b5e3-d61c3fe305e5		https://nbrehbwfsmedbelzntqs.supabase.co/storage/v1/object/public/listing-images/d126f042-e517-46ee-b89d-0bd83483a88d/c2a323e2-8b8a-469a-b5e3-d61c3fe305e5/1787594421955-f3tg1e.webp	50900.00 USD			no			Custom Food Trailer				used																		1
9d335dc0-71f2-4e1c-ada1-93a4ee2f9d77	FOOD TRAILER - EXP 16X 8 FT - Food Trailer for Sale in La Feria, TX	Included Equipment Air Conditioning: 12000 Cool / Heat Concession Window(s): 1 Cabinets: 1 Stainless Steel Wall Panels Insulated Walls Diamond Plated Aluminum Flooring Exterior Customer Counter Exterior LED Lighting Interior LED Lighting Electrical Outlets (4) Braker Pane: 125 amps Hot Water Heater: On Demand Hand-Washing Sink Triple Sink Fresh Water Tank: 30 Gallons Gray Water Tank: 35 Gallons Exhaust Hood 8' Exhaust Fan: .50 HP Optional Equipment Prep Station Cooler Stovetop: 2 Burners Flatgrill: 36'' Fryer(s): 1 Food Warmer: For 6 Containers Steam Table: Yes	in_stock			https://vendibook.com/listing/9d335dc0-71f2-4e1c-ada1-93a4ee2f9d77		https://nbrehbwfsmedbelzntqs.supabase.co/storage/v1/object/public/listing-images/f559486d-0ccb-4caf-b28d-421b960e0a4b/9d335dc0-71f2-4e1c-ada1-93a4ee2f9d77/1771959901921-4pbsb7.jpeg	35090.00 USD			no			Custom Food Trailer				used																		1
045054bb-2356-42ee-bc5e-a7850101d77e	Tap Trailer For Ice Cold Beverages - Food Trailer for Sale in Farmington, NM	1951 Ford Bed Tap Trailer Includes 4 Tap Jockey Box by Coldbreak. Serve Ice Cold Beverages with coil system, keeps beverages cold. No electricity required to keep your beer cold. Cover and levers included. Brand New. Delivery can be arranged within 500 miles.	in_stock			https://vendibook.com/listing/045054bb-2356-42ee-bc5e-a7850101d77e		https://nbrehbwfsmedbelzntqs.supabase.co/storage/v1/object/public/listing-images/55ded958-2c29-4d79-8440-9f77fdca0c5c/045054bb-2356-42ee-bc5e-a7850101d77e/1777748544380-ddfcy6.jpeg	11000.00 USD			no			Custom Food Trailer				used																		1
f814bc22-d682-4ddf-818e-049472578f49	2023 SDG 37' Custom Commercial Kitchen on Wheels - Food Trailer for Sale in Birch Run, MI	Take your culinary business on the road with this massive 2023 37-foot triple-axle concession trailer, custom-built by the experts at Southern Dimensions. Spanning 32 feet of dedicated kitchen space, this high-capacity rig is engineered from the ground up for high-volume catering, large festivals, and serious food service operations. The main hot line comes fully equipped with premium equipment, including a South Bend flat top, a South Bend four-burner range with a double oven, a commercial deep fryer, and a proofer. A commercial hood with an integrated fire suppression system keeps your workspace safe, cool, and code-compliant. Prep work and high-volume storage are effortless thanks to dedicated commercial refrigerators and freezers, a refrigerated sandwich prep station, a beverage cooler, and generous stainless steel work surfaces. Wash stations include a three-compartment sink and a separate handwashing sink. Power is delivered reliably on location by a heavy-duty Kubota generator alongside two 100-pound propane tanks. Designed with both crew workflow and customer engagement in mind, the exterior boasts multiple service windows, a large protective awning, and a dedicated compartment for an exterior TV or menu display. Three RV-style entry doors provide smooth access, while an onboard bathroom keeps your team comfortable during long event days. This is a turn-key, fully loaded mobile kitchen built to handle serious volume from day one.	in_stock			https://vendibook.com/listing/f814bc22-d682-4ddf-818e-049472578f49		https://nbrehbwfsmedbelzntqs.supabase.co/storage/v1/object/public/listing-images/24050d09-bc26-42d9-91e2-7c445f9203dc/f814bc22-d682-4ddf-818e-049472578f49/1785261976822-ubjk.jpg	189999.00 USD			no			Custom Food Trailer				used																		1
9fa1aac0-10d3-4c75-8e60-d8e16f7a0a47	FOOD TRUCK FOR SALE OR LONG-TERM LEASE - $76,000 (Chicago) - Food Truck for Sale in Chicago, IL	TURN-KEY FOOD TRUCK READY FOR IMMEDIATE OPERATION *PRICE IS NEGOTIABLE FOR A SERIOUS BUYER* Professionally built custom food truck on a 2019 Freightliner MT-55 chassis. This truck has been in operation for approximately 18 months and currently has only 79,800 miles. In addition to the original custom build, approximately $12,000 in additional equipment, upgrades, maintenance, and improvements have been invested into the truck. These additions are included in the sale price. Perfect for catering, festivals, construction sites, schools, sporting events, corporate events, fairs, private parties, and daily food service operations. VEHICLE INFORMATION • 2019 Freightliner MT-55 • Cummins 6.7L ISB Diesel Engine • Automatic Transmission • Rear Wheel Drive • 79,800 Original Miles • Clean Title • Professionally Built Commercial Food Truck TRUCK FEATURES • 8 Ft Commercial Hood Ventilation System with Exhaust Fan • Stainless Steel Interior Walls • White Finished Ceiling • Diamond Plate Flooring • Large 36” x 72” Serving Window • Two Roof Vents • 3-Compartment Sink with Dual Drainboards • Separate Hand Wash Sink • 8-Gallon Water Heater • Water Pump • 46-Gallon Fresh Water Tank • 65-Gallon Grey Water Tank • 29.2-Gallon Frame-Mounted Propane Tank • Exterior Serving Shelf • Soap Dispenser • Towel Dispenser • Stainless Steel Shelving Throughout INCLUDED COMMERCIAL EQUIPMENT • Turbo Air Refrigerator • Turbo Air Freezer • 36” Avantco Griddle • 2-Burner Avantco Range • 36” Avantco Sandwich Prep Table • Two Avantco Deep Fryers • Avantco Heated Holding Cabinet • 36” Avantco Undercounter Freezer ADDITIONAL EQUIPMENT AND UPGRADES INCLUDED • Clover Station Duo POS System • Internet System Installed • Commercial Security and Camera System • Commercial Conveyor Bun & Bagel Toaster (450 Slices Per Hour Capacity) • Commercial French Fry / Food Warmer with Heat Lamp • Predator 13,000-Watt Tri-Fuel Generator • Generator Purchased Approximately 6 Months Ago • Professionally Mounted on Heavy-Duty Rear Slide-Out Platform • Remote Electric Start • Operates on Gasoline, Propane, or Natural Gas MAINTENANCE & RECENT IMPROVEMENTS • Regularly Serviced and Maintained • Routine Oil Changes Performed • New Tires Installed • Recent Equipment Upgrades • Ready for Immediate Operation IDEAL FOR • Hot Dogs • Sausages • Burgers • Breakfast Sandwiches • Catering • Festivals • Construction Sites • School Events • Sporting Events • Corporate Events • Mobile Food Service WHY WAIT MONTHS FOR A NEW BUILD? This truck is fully operational and ready to start generating income immediately. No waiting for construction, inspections, equipment installation, or additional upgrades. Everything is already installed and ready to work. SALE PRICE: $76,000 *PRICE IS NEGOTIABLE FOR A SERIOUS BUYER* LONG-TERM LEASE AVAILABLE LEASE-TO-OWN OPTION MAY BE CONSIDERED SERIOUS INQUIRIES ONLY After operating the truck for approximately 18 months, I have decided to focus on other business opportunities and therefore am offering the truck for sale or long-term lease. The truck is being offered for sale solely due to a change in business direction and not because of any mechanical or operational issues. It is fully functional, regularly maintained, and ready for immediate operation. If you are looking for a fully equipped, professionally built, turn-key food truck with low mileage, premium equipment, recent upgrades, internet, POS system, security cameras, and a nearly new 13,000-watt generator, this truck is ready to start making money immediately.	in_stock			https://vendibook.com/listing/9fa1aac0-10d3-4c75-8e60-d8e16f7a0a47		https://nbrehbwfsmedbelzntqs.supabase.co/storage/v1/object/public/listing-images/3756d71d-fcff-48e2-960f-7f8c565e7c46/9fa1aac0-10d3-4c75-8e60-d8e16f7a0a47/1784143204036-fmnpm.jpeg	76000.00 USD			no			Custom Food Truck				used																		1
3c5c4943-dca5-40cd-bfef-547446077f46	2021 8.5 X 24 ENCLOSED, REFRIGERATED, 16K CAPACITY CARGO TRAILER - Food Trailer for Sale in Sparta, TN	Features Honda Generator - EB5000 5000 watt 120/240V industrial generator with CO-MINDER 5.0 out of 5 stars, average rating value. Provides 7,000 watts for 10 secs to start larger equipment Full GFCI protection OSHA worksite compliant - meets job site emission and safety requirements Long run time - up to 10.5 hrs CO-MINDER: advanced carbon monoxide detection system Daikin Mini Split 240 watt Cooling system Coolbot Pro - Controls mini split to provide cooling down to low 40's. Vevor winch - Provides power to pull heavy pallets and loads up the ramp. Comes with remote control. insulated with 8 inch thick moisture repellant, mold and mildew resistant insulation under floor. Walls insulated with 1 inch thick foam board and bubble foil insulation. Ceiling insulated with 1 inch thick foam board. 120 outlets inside trailer Vinyl insulation door/wall flaps inside trailer that can be moved to any position - Provides two rooms inside that can be cooled down to different temperatures. For example if you are hauling and storing tomatoes and an item that needs cold temps, the trailer will accommodate that with proper temps for both. However, the retailer is not a freezer. Refrigeration only. Double barn door on side so pallets can be directly loaded in. 16" On Center Cross Members 24" On Center Tubing Roof Members 16" On Center Tubing Sidewalls 2000 lb A-Frame Jack w/ Sand Foot 2 5/16" Coupler 16" Flap On Ramp Door .024 Aluminum Metal Interior Height 78" (4) 5000 lb D-Rings Aluminum Fenders Galvalume Roof 2 Side Vents V-Nose w/24" Stone Guard ATP Covered Step Well Electric Brakes on Axles 7 Way Bargman Plug No Show Beaver Tail Heavy Duty Ramp Door w/Flap Door Hold Back E-Z Lube Hubs LED Full Light Package 5 Year Warranty on Trailer 6 Year warranty on Axles 6" Tube Steel Main Frame 12" On Center Floors - 105.00 8000lb drop leaf spring axles - 1,200.00 5' double door - 360.00 E-TRAC 1 row each wall 4' from floor and across the front - 560.00 10" BOGEY WHEELS - 180.00 Scissor Jack 5k w/Handle (Pair) - 175.00 72" TTT w/110" drawbars - 180.00 Electric Tongue Jack 3500 LB with Battery - 450.00 Double 3/4" plywood floor - 432.00 Trojan Package Thermal Cool Ceiling 2- Door handles on rear ramp door Radial Tires LED exterior lights Thank You For Your Purchase Diamond Cargo Trailers come with a FIVE (5) YEAR MANUFACTURER BACKED LIMITED WARRANTY. TOTAL $8,292.0. THIS IS THE TOTAL BEFORE REFRIGERATION SYSTEM, INDUSTRIAL HONDA GENERATOR, INSULATION, WINCH, AND OTHER EXTRAS CREATING THE COOLING SYSTEM.	in_stock			https://vendibook.com/listing/3c5c4943-dca5-40cd-bfef-547446077f46		https://nbrehbwfsmedbelzntqs.supabase.co/storage/v1/object/public/listing-images/d7077653-fd60-40ec-b980-2e52862f7b0a/3c5c4943-dca5-40cd-bfef-547446077f46/1786672754920-pb52rn.jpg	12000.00 USD			no			Custom Food Trailer				used																		1
154df4be-3102-44c9-b014-b36bafce8391	My Food Trailer - Food Trailer for Sale in Norcross, GA	Top speed of 25 mph this vendor cart was built from scratch the bottom compartment has a drainage hole to fill it with ice and put drinks great condition perfect for anyone trying to start a small business we never had any issues with it feel free to ask any questions	in_stock			https://vendibook.com/listing/154df4be-3102-44c9-b014-b36bafce8391		https://nbrehbwfsmedbelzntqs.supabase.co/storage/v1/object/public/listing-images/609b6034-da38-445b-b0bb-9fc2b1ef74f5/154df4be-3102-44c9-b014-b36bafce8391/1781182024445-ppp4gp.jpeg	10000.00 USD			no			Custom Food Trailer				used																		1
10ae96b2-12c7-413a-a612-92110bc2050e	Food Truck renovated inside - out - Food Truck for Sale in Austin, TX	For sale Gumman Olson Kurbmaster foodtruck renovated inside and outside! - New: paint job serving window propane cage stainless walls and shelf hood system exhaust fan fire suppression system with 2 extinguishers fryer x 2 8 burner stove / optional new flat top grill to switch it double door freezer/fridge with locks sinks with new electric water heater and pump stainless steel table with extra folding work space standing fridge gas lines and electrical system exterior led light around the truck with remote interior led light - engine tune up - located near Austin, Tx WHY BUY THIS TRUCK? * Turnkey Ready: 2 set of keys for employees. Zero unknown issues with used equipments! Risk free; Everything new, you can trust in long term! * Fire suppression system already installed! * Blank Canvas: The clean green exterior is ready for your custom wrap,menu, logo or branding. No wrap removal cost! Easy start! * No waiting, ready for new owner	in_stock			https://vendibook.com/listing/10ae96b2-12c7-413a-a612-92110bc2050e		https://nbrehbwfsmedbelzntqs.supabase.co/storage/v1/object/public/listing-images/5fbd89d5-fa6b-424c-97b8-dea19753eda8/10ae96b2-12c7-413a-a612-92110bc2050e/1781406117162-jk7v8.jpeg	37500.00 USD			no			Custom Food Truck				used																		1
3678b74e-769c-4a6a-9306-090074d81abb	2004 18 ft Workhorse P42 All Purpose Food Truck - Food Truck for Sale in Ocean Springs, MS	FOR SALE: 2004 Workhorse P42 All-Purpose Food Truck – Ready to Roll! Looking to launch or expand your mobile food business? This dependable 18ft Workhorse food truck is fully equipped and ready for operation. Key Features & Specs: Year: 2004 Workhorse P42 Mileage: 69,000 miles Motor (on the gas-powered V8 engine) Kitchen Build: Installed in 2015 Power: Runs on Gas & Electricity (8500W Generator included) Pro Fire Suppression System installed for safety Kitchen Equipment Highlights: Exhaust Hood (8') 2 Fryers & Oven Warming Cabinet Refrigerator, Upright Freezer & Deep Freezer Triple Sink with Hot Water Heater Fresh & Gray Water Tanks Stainless steel wall covers and diamond-plated aluminum flooring Exterior customer counter with 2 concession windows Dometic A/C unit	in_stock			https://vendibook.com/listing/3678b74e-769c-4a6a-9306-090074d81abb		https://nbrehbwfsmedbelzntqs.supabase.co/storage/v1/object/public/listing-images/25cf6eb9-d454-428b-8314-38e2832a0c64/3678b74e-769c-4a6a-9306-090074d81abb/1786716498152-81e5a.jpg	59985.00 USD			no			Custom Food Truck				used																		1
c2457bdb-fad5-4686-90e7-da1f82da7336	Kombi Food and Coffee van - Food Truck for Sale in Austin, TX	For Sale: 1982 VW Kombi Bus Coffee/Food Truck – Ready to Roll! Turn heads and serve up smiles with this one-of-a-kind 1982 Volkswagen Bus, originally manufactured in Mexico, now expertly converted into a fully functional coffee/food truck! This vintage beauty combines retro charm with modern utility, making it the perfect mobile business for coffee shops, food vendors, or event catering. Bus has commercial Simonelli espresso machine and grinder included. **Key Features:** - **Unique Conversion**: Custom-built for mobile service with a raising roof and fold-out bar, creating an inviting open-air setup for customers. - **Ready to Operate**: Equipped to function as a coffee stand or food truck – just add your personal touch and start serving! - **Classic Style**: Iconic VW Bus design with authentic Mexican manufacturing, offering a nostalgic vibe that draws crowds. - **Functional Condition**: Runs and drives reliably, though the carburetor may need minor tweaking for optimal performance. New starter in 2025. - **Versatile Use**: Ideal for festivals, markets, weddings, private events, or a stationary pop-up shop. This VW Bus is a rare find, blending vintage appeal with practical functionality. Whether you're brewing artisanal coffee or dishing out gourmet snacks, this mobile setup is ready to bring your entrepreneurial dreams to life. Don't miss out on this turnkey opportunity to own a piece of VW history with endless potential! Additional pics upon request.	in_stock			https://vendibook.com/listing/c2457bdb-fad5-4686-90e7-da1f82da7336		https://nbrehbwfsmedbelzntqs.supabase.co/storage/v1/object/public/listing-images/5ade2d86-0869-404c-91f1-eff688a1c03b/c2457bdb-fad5-4686-90e7-da1f82da7336/1786308677315-6u6ce5.jpg	30000.00 USD			no			Custom Food Truck				used																		1
